№,Погрешность угла наклона,Погрешность угла поворота,Погрешность скорости,Угол наклона,Угол поворота,Скорость,Дальность полета,x,y,Результат попадания
1,-0.32887333179749767,0.4259713839431676,0.29447313093767047,29.671126668202504,45.425971383943164,30.29447313093767,11.979486373528662,9.407565668646766,8.533518225266244,True
2,1.3128749431644948,1.4938415495013935,1.968443293237315,31.312874943164495,46.4938415495014,31.968443293237314,12.253724060685567,9.43586236429144,8.887630703745268,True
3,-2.796509733768602,-1.0719375721182764,-1.197339619398512,27.203490266231398,43.92806242788173,28.802660380601488,11.64329139668531,9.385631310344303,8.077587639580237,True
4,3.451050873712852,2.6175402866061424,4.220703772848628,33.45105087371285,47.61754028660614,34.22070377284863,12.534718297534155,9.449356386241341,9.258916753963188,True
5,3.7693224516253423,3.955509877431192,-1.9145354357458588,33.76932245162534,48.95550987743119,28.085464564254142,11.844298677511475,8.777497876188805,8.932969156331993,True
6,-2.928011237694382,4.863487354647459,3.3662676138323917,27.07198876230562,49.86348735464746,33.36626761383239,12.20417990527767,8.866948091146856,9.330226947485475,True
7,0.71503827573469,2.51333650185307,-2.9721485316281413,30.715038275734692,47.51333650185307,27.027851468371857,11.583140333532048,8.823468153345013,8.541808124741115,True
8,-3.3808112910253483,-3.8892133062598724,-2.8114012290801247,26.61918870897465,41.110786693740124,27.188598770919874,11.33134352595973,9.537483152368383,7.450552162513561,False
9,3.6896420303225614,2.0703099953331874,-0.4674230902719767,33.68964203032256,47.07030999533319,29.53257690972802,12.042143712047187,9.201908570799894,8.817137913055282,True
10,4.4395041590444215,-0.9919676628402287,2.5920274033344786,34.43950415904442,44.00803233715977,32.59202740333448,12.404488826252372,9.921834420921412,8.618132837586215,True
11,1.034350404389067,-1.6214403170677647,3.623544854645326,31.034350404389066,43.378559682932234,33.623544854645324,12.40777970097156,10.01836799885984,8.521856355570812,True
12,4.432660881528079,2.568906157721659,-4.5103524131538,34.43266088152808,47.568906157721656,25.4896475868462,11.466391191575212,8.736409001001801,8.463220588372486,True
13,3.3612698426705006,-4.49260882564495,-3.37394408681567,33.3612698426705,40.50739117435505,26.62605591318433,11.610724784582434,9.827891582635347,7.541701414704296,False
14,0.6664416061239509,3.9016692390207215,-1.0368789528254618,30.66644160612395,48.90166923902072,28.96312104717454,11.851086723998742,8.790350864836377,8.930772079864225,True
15,2.0994894162812505,-4.162419623620294,0.3129670832322873,32.09948941628125,40.837580376379705,30.312967083232287,12.081797097261367,10.14068068942995,7.900492239935156,False
